Threshold,Precision,Recall,F1_Score,FPR,FPR_Percent,True_Positives,False_Positives,True_Negatives,False_Negatives,AUC_ROC
0.3,0.1595551520653654,0.9073894804775734,0.27138927761424503,0.17327624529140637,17.327624529140635,2812,14812,70670,287,0.9476870840468149
0.4,0.2157476522995425,0.8673765730880929,0.34554569996143464,0.11430476591563137,11.430476591563137,2688,9771,75711,411,0.9476870840468149
0.5,0.28498727735368956,0.8312358825427557,0.4244521337946944,0.0756065604454739,7.56065604454739,2576,6463,79019,523,0.9476870840468149
0.55,0.32590275061921525,0.8067118425298483,0.46425255338904364,0.06049226737792752,6.049226737792752,2500,5171,80311,599,0.9476870840468149
0.6,0.37233879614029713,0.7844465956760245,0.5049854590776901,0.04793991717554573,4.793991717554573,2431,4098,81384,668,0.9476870840468149
0.65,0.42678052325581395,0.7579864472410455,0.5460885737533419,0.03690835497531644,3.690835497531644,2349,3155,82327,750,0.9476870840468149
0.7,0.4890384197959627,0.7270087124878993,0.5847391642875681,0.027537961208207576,2.7537961208207578,2253,2354,83128,846,0.9476870840468149
0.75,0.5572998430141287,0.6873184898354308,0.6155179887299523,0.019793640766477154,1.9793640766477154,2130,1692,83790,969,0.9476870840468149
0.8,0.6373239436619719,0.6424653113907712,0.6398843001767636,0.013254252357221403,1.3254252357221403,1991,1133,84349,1108,0.9476870840468149
0.8351,0.6924786958132642,0.6030977734753146,0.6447050707140394,0.009709646475281346,0.9709646475281346,1869,830,84652,1230,0.9476870840468149
0.85,0.7142292490118577,0.5830913197805744,0.6420323325635104,0.008457920965817364,0.8457920965817365,1807,723,84759,1292,0.9476870840468149
0.9,0.8010335917312662,0.500161342368506,0.6158124751688518,0.004503872160220865,0.45038721602208653,1550,385,85097,1549,0.9476870840468149
